observed Discharge Funudsbach from TIWAG gauge and H-Loggers [m3/s]
YYYY	MM	DD	HH	1595	1935	2012	2021
YYYY	MM	DD	HH	221847.733	219661.222	218687.432	218296.567
YYYY	MM	DD	HH	42720.77	42183.67	42391.33	42459.4
YYYY	MM	DD	HH	Fundus 1989	Fundus A	Fundus B	Fundus C
2013	1	16	22	0.114	-9999	-9999	-9999
2013	1	16	23	0.112	-9999	-9999	-9999
2013	1	17	0	0.112	-9999	-9999	-9999
2013	1	17	1	0.111	-9999	-9999	-9999
2013	1	17	2	0.111	-9999	-9999	-9999
2013	1	17	3	0.111	-9999	-9999	-9999
2013	1	17	4	0.112	-9999	-9999	-9999
2013	1	17	5	0.111	-9999	-9999	-9999
2013	1	17	6	0.112	-9999	-9999	-9999
2013	1	17	7	0.111	-9999	-9999	-9999
2013	1	17	8	0.111	-9999	-9999	-9999
2013	1	17	9	0.111	-9999	-9999	-9999
2013	1	17	10	0.111	-9999	-9999	-9999
2013	1	17	11	0.112	-9999	-9999	-9999
2013	1	17	12	0.112	-9999	-9999	-9999
2013	1	17	13	0.112	-9999	-9999	-9999
2013	1	17	14	0.112	-9999	-9999	-9999
2013	1	17	15	0.112	-9999	-9999	-9999
2013	1	17	16	0.112	-9999	-9999	-9999
2013	1	17	17	0.112	-9999	-9999	-9999
2013	1	17	18	0.112	-9999	-9999	-9999
2013	1	17	19	0.112	-9999	-9999	-9999
2013	1	17	20	0.112	-9999	-9999	-9999
2013	1	17	21	0.111	-9999	-9999	-9999
2013	1	17	22	0.111	-9999	-9999	-9999
2013	1	17	23	0.111	-9999	-9999	-9999
2013	1	18	0	0.111	-9999	-9999	-9999
2013	1	18	1	0.111	-9999	-9999	-9999
2013	1	18	2	0.111	-9999	-9999	-9999
2013	1	18	3	0.111	-9999	-9999	-9999
2013	1	18	4	0.111	-9999	-9999	-9999
2013	1	18	5	0.111	-9999	-9999	-9999
2013	1	18	6	0.11	-9999	-9999	-9999
2013	1	18	7	0.11	-9999	-9999	-9999
2013	1	18	8	0.109	-9999	-9999	-9999
2013	1	18	9	0.109	-9999	-9999	-9999
2013	1	18	10	0.109	-9999	-9999	-9999
2013	1	18	11	0.11	-9999	-9999	-9999
2013	1	18	12	0.11	-9999	-9999	-9999
2013	1	18	13	0.109	-9999	-9999	-9999
2013	1	18	14	0.11	-9999	-9999	-9999
2013	1	18	15	0.111	-9999	-9999	-9999
