mean daily discharge [m/s]
YYYY	MM	DD	HH	1598.2
YYYY	MM	DD	HH	221847.733
YYYY	MM	DD	HH	42720.77
YYYY	MM	DD	HH	Fundus_1989
2015	1	6	0	0.105
2015	1	7	0	0.104
2015	1	8	0	0.103
2015	1	9	0	0.104
2015	1	10	0	0.161
2015	1	11	0	0.123
2015	1	12	0	0.113
2015	1	13	0	0.106
2015	1	14	0	0.105
2015	1	15	0	0.105
2015	1	16	0	0.104
2015	1	17	0	0.104
2015	1	18	0	0.098
2015	1	19	0	0.096
2015	1	20	0	0.1
2015	1	21	0	0.097
2015	1	22	0	0.095
2015	1	23	0	0.094
2015	1	24	0	0.093
2015	1	25	0	0.092
2015	1	26	0	0.091
2015	1	27	0	0.093
2015	1	28	0	0.092
2015	1	29	0	0.092
2015	1	30	0	0.092
2015	1	31	0	0.09
2015	2	1	0	0.086
2015	2	2	0	0.085
2015	2	3	0	0.083
2015	2	4	0	0.082
2015	2	5	0	0.08
2015	2	6	0	0.078
2015	2	7	0	0.077
2015	2	8	0	0.076
2015	2	9	0	0.075
2015	2	10	0	0.073
2015	2	11	0	0.072
2015	2	12	0	0.071
2015	2	13	0	0.069
2015	2	14	0	0.069
2015	2	15	0	0.069
2015	2	16	0	0.067
2015	2	17	0	0.067
2015	2	18	0	0.065
2015	2	19	0	0.064
2015	2	20	0	0.064
2015	2	21	0	0.064
2015	2	22	0	0.065
2015	2	23	0	0.064
2015	2	24	0	0.064
2015	2	25	0	0.062
2015	2	26	0	0.06
2015	2	27	0	0.061
2015	2	28	0	0.06
2015	3	1	0	0.059
2015	3	2	0	0.062
2015	3	3	0	0.07
2015	3	4	0	0.061
2015	3	5	0	0.058
2015	3	6	0	0.058
2015	3	7	0	0.058
2015	3	8	0	0.057
2015	3	9	0	0.057
2015	3	10	0	0.057
2015	3	11	0	0.055
2015	3	12	0	0.053
2015	3	13	0	0.053
2015	3	14	0	0.053
2015	3	15	0	0.052
2015	3	16	0	0.053
2015	3	17	0	0.052
2015	3	18	0	0.052
2015	3	19	0	0.053
2015	3	20	0	0.052
2015	3	21	0	0.052
2015	3	22	0	0.052
2015	3	23	0	0.051
2015	3	24	0	0.052
2015	3	25	0	0.052
2015	3	26	0	0.054
2015	3	27	0	0.053
2015	3	28	0	0.052
2015	3	29	0	0.055
2015	3	30	0	0.07
2015	3	31	0	0.068
2015	4	1	0	0.056
2015	4	2	0	0.037
2015	4	3	0	0.041
2015	4	4	0	0.069
2015	4	5	0	0.053
2015	4	6	0	0.052
2015	4	7	0	0.056
2015	4	8	0	0.056
2015	4	9	0	0.06
2015	4	10	0	0.072
2015	4	11	0	0.085
2015	4	12	0	0.101
2015	4	13	0	0.131
2015	4	14	0	0.154
2015	4	15	0	0.167
2015	4	16	0	0.186
2015	4	17	0	0.206
2015	4	18	0	0.224
2015	4	19	0	0.189
2015	4	20	0	0.183
2015	4	21	0	0.196
2015	4	22	0	0.226
2015	4	23	0	0.251
2015	4	24	0	0.264
2015	4	25	0	0.271
2015	4	26	0	0.307
2015	4	27	0	0.381
2015	4	28	0	0.387
2015	4	29	0	0.326
2015	4	30	0	0.304
2015	5	1	0	0.304
2015	5	2	0	0.448
2015	5	3	0	0.57
2015	5	4	0	0.759
2015	5	5	0	0.915
2015	5	6	0	0.977
2015	5	7	0	0.876
2015	5	8	0	0.852
2015	5	9	0	0.929
2015	5	10	0	0.904
2015	5	11	0	0.891
2015	5	12	0	0.903
2015	5	13	0	1.021
2015	5	14	0	1.373
2015	5	15	0	1.41
2015	5	16	0	1.198
2015	5	17	0	1.062
2015	5	18	0	1.06
2015	5	19	0	1.146
2015	5	20	0	1.249
2015	5	21	0	0.995
2015	5	22	0	0.869
2015	5	23	0	0.809
2015	5	24	0	0.765
2015	5	25	0	0.75
2015	5	26	0	0.78
2015	5	27	0	0.751
2015	5	28	0	0.702
2015	5	29	0	0.696
2015	5	30	0	0.737
2015	5	31	0	0.785
2015	6	1	0	0.839
2015	6	2	0	0.91
2015	6	3	0	1.092
2015	6	4	0	1.585
2015	6	5	0	2.232
2015	6	6	0	2.134
2015	6	7	0	2.146
2015	6	8	0	2.108
2015	6	9	0	2.186
2015	6	10	0	1.988
2015	6	11	0	1.772
2015	6	12	0	1.748
2015	6	13	0	1.735
2015	6	14	0	1.723
2015	6	15	0	1.641
2015	6	16	0	1.505
2015	6	17	0	1.308
2015	6	18	0	1.182
2015	6	19	0	1.277
2015	6	20	0	1.256
2015	6	21	0	1.156
2015	6	22	0	1.097
2015	6	23	0	1.25
2015	6	24	0	1.188
2015	6	25	0	1.106
2015	6	26	0	1.084
2015	6	27	0	1.105
2015	6	28	0	1.206
2015	6	29	0	1.209
2015	6	30	0	1.18
2015	7	1	0	1.23
2015	7	2	0	1.333
2015	7	3	0	1.373
2015	7	4	0	1.328
2015	7	5	0	1.351
2015	7	6	0	1.312
2015	7	7	0	1.3
2015	7	8	0	1.296
2015	7	9	0	1.094
2015	7	10	0	0.959
2015	7	11	0	0.897
2015	7	12	0	0.89
2015	7	13	0	0.842
2015	7	14	0	0.776
2015	7	15	0	0.745
2015	7	16	0	0.798
2015	7	17	0	0.845
2015	7	18	0	0.79
2015	7	19	0	0.702
2015	7	20	0	0.679
2015	7	21	0	0.68
2015	7	22	0	0.699
2015	7	23	0	0.768
2015	7	24	0	0.728
2015	7	25	0	0.65
2015	7	26	0	0.615
2015	7	27	0	0.616
2015	7	28	0	0.574
2015	7	29	0	0.593
2015	7	30	0	0.59
2015	7	31	0	0.548
2015	8	1	0	0.539
2015	8	2	0	0.687
2015	8	3	0	0.607
2015	8	4	0	0.731
2015	8	5	0	0.902
2015	8	6	0	0.714
2015	8	7	0	0.692
2015	8	8	0	0.674
2015	8	9	0	0.633
2015	8	10	0	0.612
2015	8	11	0	0.571
2015	8	12	0	0.528
2015	8	13	0	0.509
2015	8	14	0	0.49
2015	8	15	0	0.499
2015	8	16	0	0.509
2015	8	17	0	0.534
2015	8	18	0	0.528
2015	8	19	0	0.611
2015	8	20	0	0.563
2015	8	21	0	0.539
2015	8	22	0	0.524
2015	8	23	0	0.515
2015	8	24	0	0.504
2015	8	25	0	0.497
2015	8	26	0	0.468
2015	8	27	0	0.451
2015	8	28	0	0.427
2015	8	29	0	0.414
2015	8	30	0	0.397
2015	8	31	0	0.38
2015	9	1	0	0.38
